
Еженедельные средние потребительские цены (тарифы) на отдельные товары и услуги, рубль, Российская Федерация, Яблоки, кг
;2011;2012;2013;2014;2015;2016;2017;2018;2019;
01 неделя (на 11 января);65,77;;;;;;;;;
02 неделя (на 17 января);66,54;;;;;;;;;
03 неделя (на 24 января);67,59;;;;;;;;;
04 неделя (на 31 января);68,21;;;;;;;;;
05 неделя (на 7 февраля);69,01;;;;;;;;;
06 неделя (на 14 февраля);69,55;;;;;;;;;
07 неделя (на 21 февраля);70;;;;;;;;;
08 неделя (на 28 февраля);70,23;;;;;;;;;
09 неделя ( на 5 марта);70,47;;;;;;;;;
10 неделя (на 14 марта);70,66;;;;;;;;;
11 неделя (на 21 марта);70,66;;;;;;;;;
12 неделя (на 28 марта);70,67;;;;;;;;;
13 неделя (на 4 апреля);70,55;;;;;;;;;
14 неделя (на 11 апреля);70,59;;;;;;;;;
15 неделя (на 18 апреля);70,42;;;;;;;;;
16 неделя (на 25 апреля);70,29;;;;;;;;;
17 неделя (на 3 мая);70,18;;;;;;;;;
18 неделя (на 10 мая);70,2;;;;;;;;;
19 неделя (на 16 мая);70,28;;;;;;;;;
20 неделя (на 23 мая);70,58;;;;;;;;;
21 неделя (на 30 мая);70,88;;;;;;;;;
22 неделя (на 6 июня);71;;;;;;;;;
23 неделя (на 14 июня);70,99;;;;;;;;;
24 неделя (на 20 июня);71,07;;;;;;;;;
25 неделя (на 27 июня);71,29;;;;;;;;;
26 неделя (на 4 июля);71,57;;;;;;;;;
27 неделя (на 11 июля);71,81;;;;;;;;;
28 неделя (на 18 июля);71,9;;;;;;;;;
29 неделя (на 25 июля);71,6;;;;;;;;;
30 неделя (на 1 августа);71,31;;;;;;;;;
31 неделя (на 8 августа);70,84;;;;;;;;;
32 неделя (на 15 августа);70,04;;;;;;;;;
33 неделя (на 22 августа);68,49;;;;;;;;;
34 неделя (на 29 августа);67,34;;;;;;;;;
35 неделя (на 5 сентября);66,42;;;;;;;;;
36 неделя (на 12 сентября);65,37;;;;;;;;;
37 неделя (на 19 сентября);64,49;;;;;;;;;
38 неделя (на 26 сентября);63,88;;;;;;;;;
39 неделя (на 3 октября);63,33;;;;;;;;;
40 неделя (на 10 октября);62,83;;;;;;;;;
41 неделя (на 17 октября);62,36;;;;;;;;;
42 неделя (на 24 октября);62,3;;;;;;;;;
43 неделя (на 31 октября);62,15;;;;;;;;;
44 неделя (на 7 ноября);62,04;;;;;;;;;
45 неделя (на 14 ноября);62,02;;;;;;;;;
46 неделя (на 21 ноября);62,12;;;;;;;;;
47 неделя (на 28 ноября);62,28;;;;;;;;;
48 неделя (на 5 декабря);62,64;;;;;;;;;
49 неделя (на 12 декабря);62,81;;;;;;;;;
50 неделя (на 19 декабря);63,15;;;;;;;;;
51 неделя (на 26 декабря);63,48;;;;;;;;;
01 неделя ( на 10 января);;63,8;;;;;;;;
02 неделя (на 16 января);;63,88;;;;;;;;
03 неделя (на 23 января);;64,09;;;;;;;;
04 неделя (на 30 января);;64,26;;;;;;;;
05 неделя (на 6 февраля);;64,78;;;;;;;;
06 неделя (на 13 февраля);;64,66;;;;;;;;
07 неделя (на 20 февраля);;64,64;;;;;;;;
08 неделя (на 27 февраля);;64,66;;;;;;;;
09 неделя (на 5 марта);;64,63;;;;;;;;
10 неделя (на 12 марта);;64,68;;;;;;;;
11 неделя (на 19 марта);;64,42;;;;;;;;
12 неделя (на 26 марта);;64,23;;;;;;;;
13 неделя (на 2 апреля);;63,96;;;;;;;;
14 неделя (на 9 апреля);;63,66;;;;;;;;
15 неделя (на 16 апреля);;63,57;;;;;;;;
16 неделя (на 23 апреля);;63,28;;;;;;;;
17 неделя (на 30 апреля);;63,14;;;;;;;;
18 неделя (на 5 мая);;62,97;;;;;;;;
19 неделя (на 14 мая);;62,89;;;;;;;;
20 неделя (на 21 мая);;63,26;;;;;;;;
21 неделя (на 28 мая);;63,4;;;;;;;;
22 неделя (на 4 июня);;63,78;;;;;;;;
23 неделя (на 9 июня);;64,3;;;;;;;;
24 неделя (на 18 июня);;64,99;;;;;;;;
25 неделя (на 25 июня);;65,74;;;;;;;;
26 неделя (на 2 июля);;66,52;;;;;;;;
27 неделя (на 9 июля);;66,96;;;;;;;;
28 неделя (на 16 июля);;67,34;;;;;;;;
29 неделя (на 23 июля);;67,71;;;;;;;;
30 неделя (на 30 июля);;67,75;;;;;;;;
31 неделя (на 6 августа);;67,39;;;;;;;;
32 неделя (на 13 августа);;66,99;;;;;;;;
33 неделя (на 20 августа);;66,32;;;;;;;;
34 неделя (на 27 августа);;65,85;;;;;;;;
35 неделя (на 3 сентября);;65,07;;;;;;;;
36 неделя (на 10 сентября);;64,56;;;;;;;;
37 неделя (на 17 сентября);;64,07;;;;;;;;
38 неделя (на 24 сентября);;63,46;;;;;;;;
39 неделя (на 1 октября);;63,1;;;;;;;;
40 неделя (на 8 октября);;62,49;;;;;;;;
41 неделя (на 15 октября);;62,12;;;;;;;;
42 неделя (на 22 октября);;61,76;;;;;;;;
43 неделя (на 29 октября);;61,49;;;;;;;;
44 неделя (на 6 ноября);;61,21;;;;;;;;
45 неделя (на 12 ноября);;61,2;;;;;;;;
46 неделя (на 19 ноября);;61,18;;;;;;;;
47 неделя (на 26 ноября);;61,24;;;;;;;;
48 неделя (на 3 декабря);;61,46;;;;;;;;
49 неделя (на 10 декабря);;61,62;;;;;;;;
50 неделя (на 17 декабря);;62,01;;;;;;;;
51 неделя (на 24 декабря);;62,4;;;;;;;;
01 неделя (на 9 января);;;63,19;;;;;;;
02 неделя (на 14 января);;;63,58;;;;;;;
03 неделя (на 21 января);;;63,84;;;;;;;
04 неделя (на 28 января);;;64,09;;;;;;;
05 неделя (на 4 февраля);;;64,33;;;;;;;
06 неделя (на 11 февраля);;;64,43;;;;;;;
07 неделя (на 18 февраля);;;64,54;;;;;;;
08 неделя (на 25 февраля);;;64,41;;;;;;;
09 неделя (на 4 марта);;;64,23;;;;;;;
10 неделя (на 11 марта);;;64,28;;;;;;;
11 неделя (на 18 марта);;;64,18;;;;;;;
12 неделя (на 25 марта);;;64,12;;;;;;;
13 неделя (на 1 апреля);;;64,13;;;;;;;
14 неделя (на 8 апреля);;;64,3;;;;;;;
15 неделя (на 15 апреля);;;64,51;;;;;;;
16 неделя (на 22 апреля);;;64,89;;;;;;;
17 неделя (на 29 апреля);;;65,44;;;;;;;
18 неделя (на 6 мая);;;65,88;;;;;;;
19 неделя (на 13 мая);;;66,24;;;;;;;
20 неделя (на 20 мая);;;66,7;;;;;;;
21 неделя (на 27 мая);;;67,31;;;;;;;
22 неделя (на 3 июня);;;67,9;;;;;;;
