DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
132117963,2013-11-06,2013-11-06,700,21,Topanga,2126,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1813 0443,41.0,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,7700    LOMA VERDE                   AV,,"(34.2106, -118.5896)"
160907969,2016-03-20,2016-03-20,1609,9,Van Nuys,933,624,BATTERY - SIMPLE ASSAULT,0416,36.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,VESPER,DELANO,"(34.1827, -118.4509)"
101315532,2010-06-27,2010-06-27,930,13,Newton,1367,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0416 0602 0554 0906 1217 1251,19.0,F,B,501.0,SINGLE FAMILY DWELLING,302.0,BLUNT INSTRUMENT,AO,Adult Other,230.0,,,,1500 E  53RD                         ST,,"(33.9948, -118.2478)"
150415673,2015-10-13,2015-10-13,1300,4,Hollenbeck,429,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,78.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,3300    FARNSWORTH                   AV,,"(34.0841, -118.1655)"
141817049,2014-09-12,2014-09-12,1800,18,Southeast,1826,510,VEHICLE - STOLEN,,13.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,102ND                        ST,CORNING                      ST,"(33.9485, -118.2461)"
121226844,2012-11-30,2012-11-29,1845,12,77th Street,1265,210,ROBBERY,0444 0346 0305 0319 0344 0355 1822,22.0,F,H,222.0,LAUNDROMAT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,,,,1200 W  MANCHESTER                   AV,,"(33.96, -118.2959)"
170906667,2017-02-21,2017-02-21,1500,9,Van Nuys,935,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0345,,X,X,752.0,FIRE STATION,,,IC,Invest Cont,440.0,,,,14400    SYLVAN                       ST,,"(34.1847, -118.4465)"
160804752,2016-01-15,2016-01-14,2200,8,West LA,889,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,45.0,F,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,8800    GUTHRIE                      AV,,"(34.0416, -118.3836)"
150516966,2015-10-22,2015-10-22,930,5,Harbor,511,310,BURGLARY,0344 1607 0329 0321 0352,56.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1500 W  254TH                        ST,,"(33.7938, -118.3027)"
122119538,2012-12-05,2012-12-05,2230,21,Topanga,2158,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,43.0,M,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,6100    CANOGA                       AV,,"(34.1805, -118.5975)"
160614154,2016-06-12,2016-06-12,2305,6,Hollywood,639,210,ROBBERY,0344 0400,22.0,M,H,404.0,DEPARTMENT STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,,,,5400    HOLLYWOOD                    BL,,"(34.1036, -118.3049)"
150917305,2015-09-24,2015-09-23,1500,9,Van Nuys,998,330,BURGLARY FROM VEHICLE,0344,52.0,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,13100    VALLEYHEART                  DR,,"(34.1474, -118.4183)"
140211099,2014-05-19,2014-05-17,930,2,Rampart,266,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 0432 0421 1814,48.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,700 S  UNION                        AV,,"(34.0539, -118.2712)"
150509066,2015-04-25,2015-04-25,430,5,Harbor,522,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,BAYVIEW,G                            ST,"(33.7781, -118.2701)"
122014425,2012-07-26,2012-07-21,2300,20,Olympic,2054,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251,26.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,440.0,,,,1000 S  ARDMORE                      AV,,"(34.0526, -118.3021)"
172012779,2017-06-22,2017-06-22,1745,20,Olympic,2055,330,BURGLARY FROM VEHICLE,0344 0358 1307 0342,48.0,F,K,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,2800 W  OLYMPIC                      BL,,"(34.0527, -118.2963)"
160617590,2016-08-08,2016-08-08,115,6,Hollywood,647,210,ROBBERY,0400 0448 0429 0344,25.0,F,A,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,HOLLYWOOD                    BL,BRONSON,"(34.1017, -118.318)"
161912599,2016-05-31,2016-05-31,1600,19,Mission,1962,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0443 1310 0602 0319 1240 1242 0445 2003 0447,53.0,F,B,101.0,STREET,205.0,KITCHEN KNIFE,AA,Adult Arrest,230.0,998.0,,,NOBLE,BEDFORD,"(34.2378, -118.461)"
142007616,2014-03-19,2014-03-19,1845,20,Olympic,2049,210,ROBBERY,0336 0342 0344 0346 0352 0448 1309 1313 1221,40.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,JAMES M WOOD,WESTMORELAND,"(34.0559, -118.2891)"
131116394,2013-08-27,2013-08-27,930,11,Northeast,1142,310,BURGLARY,1607 0344,52.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,4500    FRANKLIN                     AV,,"(34.1054, -118.2874)"
121917547,2012-08-16,2012-07-07,1500,19,Mission,1999,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,49.0,F,H,104.0,DRIVEWAY,,,IC,Invest Cont,331.0,,,,8200    RANCHITO                     AV,,"(34.2202, -118.4365)"
111710284,2011-05-03,2011-05-03,115,17,Devonshire,1785,624,BATTERY - SIMPLE ASSAULT,0416 0444 0448 1814 2000,28.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,18500    DEARBORN                     ST,,"(34.2373, -118.5361)"
141504018,2014-01-01,2014-01-01,1200,15,N Hollywood,1526,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0419 0416,27.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,6000    HAZELHURST                   PL,,"(34.1794, -118.3856)"
111606215,2011-02-18,2011-02-01,1900,16,Foothill,1612,956,"LETTERS, LEWD",1202 1822,73.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,13100    MERCER                       ST,,"(34.2719, -118.4178)"
101922887,2010-10-14,2010-10-05,2230,19,Mission,1998,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,35.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,930.0,,,,7900    STANSBURY                    AV,,"(34.2145, -118.4399)"
170510117,2017-05-12,2017-05-11,2200,5,Harbor,529,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,43.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,700    SANFORD                      AV,,"(33.7792, -118.2506)"
100207645,2010-03-07,2010-03-07,2030,2,Rampart,248,624,BATTERY - SIMPLE ASSAULT,0416,46.0,M,H,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624.0,,,,400    WITMER                       ST,,"(34.0576, -118.2644)"
150913977,2015-07-22,2015-07-21,800,9,Van Nuys,974,956,"LETTERS, LEWD",1906,48.0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,956.0,,,,14500    VENTURA                      BL,,"(34.1547, -118.453)"
130515038,2013-09-11,2013-09-11,1110,5,Harbor,504,251,SHOTS FIRED AT INHABITED DWELLING,1100 1402 1407 0329,27.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,251.0,998.0,,,1600 W  206TH                        ST,,"(33.8438, -118.3066)"
161226281,2016-10-25,2016-10-25,1630,12,77th Street,1265,210,ROBBERY,0411 0216 1822 0370 0334,55.0,M,B,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210.0,,,,1000 W  85TH                         ST,,"(33.961, -118.2919)"
111432856,2011-12-16,2011-12-16,100,14,Pacific,1441,310,BURGLARY,1601 0314,47.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310.0,,,,2300    WILSON                       AV,,"(33.9872, -118.4579)"
161020109,2016-12-24,2016-12-23,1945,10,West Valley,1005,310,BURGLARY,1414 1607 0344 0329,,M,O,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,310.0,,,,7600    WHITE OAK                    AV,,"(34.2147, -118.523)"
171605900,2017-02-16,2017-02-16,1700,16,Foothill,1602,903,CONTEMPT OF COURT,0913,26.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,903.0,,,,12900    PAXTON                       ST,,"(34.2828, -118.4136)"
121610483,2012-05-27,2012-05-27,1100,16,Foothill,1637,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1402 1414,28.0,F,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626.0,998.0,,,7800    HILLROSE                     ST,,"(34.2633, -118.3027)"
140415066,2014-10-03,2013-11-01,1200,4,Hollenbeck,438,662,"BUNCO, GRAND THEFT",0344 0701 0929 1913,48.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,5300    ITHACA                       AV,,"(34.0759, -118.171)"
