country,year,m014,m1524,m2534,m3544,m4554,m5564,m65,mu,f014
AD,2000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
AE,2000,2.0,4.0,4.0,6.0,5.0,12.0,10.0,,3.0
AF,2000,52.0,228.0,183.0,149.0,129.0,94.0,80.0,,93.0
AG,2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0
AL,2000,2.0,19.0,21.0,14.0,24.0,19.0,16.0,,3.0
AM,2000,2.0,152.0,130.0,131.0,63.0,26.0,21.0,,1.0
AN,2000,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0
AO,2000,186.0,999.0,1003.0,912.0,482.0,312.0,194.0,,247.0
AR,2000,97.0,278.0,594.0,402.0,419.0,368.0,330.0,,121.0
AS,2000,,,,,1.0,1.0,,,
AT,2000,1.0,17.0,30.0,59.0,42.0,23.0,41.0,,1.0
AU,2000,3.0,16.0,35.0,25.0,24.0,19.0,49.0,,0.0
AZ,2000,0.0,9.0,24.0,33.0,42.0,30.0,0.0,,0.0
BA,2000,4.0,56.0,82.0,99.0,66.0,58.0,77.0,,4.0
BB,2000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0
BD,2000,256.0,3640.0,5643.0,5750.0,4718.0,3667.0,2837.0,,495.0
BE,2000,3.0,20.0,57.0,39.0,55.0,32.0,56.0,,6.0
BF,2000,12.0,91.0,274.0,252.0,133.0,68.0,65.0,,7.0
BG,2000,0.0,13.0,16.0,20.0,3.0,9.0,10.0,,0.0
BH,2000,0.0,0.0,3.0,2.0,5.0,3.0,4.0,,0.0
BI,2000,,,,,,,,,
BJ,2000,19.0,277.0,428.0,327.0,213.0,103.0,74.0,,36.0
BM,2000,,,,,,,,,
BN,2000,0.0,6.0,4.0,15.0,5.0,7.0,15.0,,0.0
BO,2000,166.0,1182.0,797.0,518.0,466.0,340.0,366.0,,191.0
BR,2000,1894.0,7268.0,11568.0,11906.0,8623.0,5085.0,4494.0,,1859.0
BS,2000,1.0,2.0,7.0,9.0,4.0,3.0,2.0,,2.0
BT,2000,6.0,65.0,41.0,30.0,24.0,12.0,2.0,,7.0
BW,2000,25.0,185.0,605.0,488.0,267.0,135.0,96.0,,37.0
BY,2000,,,,,,,,,
BZ,2000,2.0,5.0,7.0,2.0,6.0,3.0,5.0,,0.0
CA,2000,5.0,34.0,45.0,46.0,41.0,32.0,79.0,,4.0
CD,2000,485.0,4048.0,5833.0,4151.0,2549.0,1295.0,602.0,,718.0
CF,2000,,,,,,,,,
CG,2000,,,,,,,,,
CH,2000,0.0,5.0,18.0,10.0,7.0,5.0,8.0,,1.0
CI,2000,,,,,,,,,
CK,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CL,2000,6.0,81.0,160.0,198.0,150.0,132.0,126.0,,10.0
CM,2000,41.0,518.0,842.0,584.0,284.0,130.0,75.0,,63.0
CN,2000,1131.0,19111.0,29399.0,25206.0,25593.0,21429.0,21771.0,,1420.0
CO,2000,246.0,763.0,1030.0,963.0,743.0,610.0,746.0,,194.0
CR,2000,14.0,31.0,53.0,62.0,39.0,28.0,49.0,,13.0
CU,2000,0.0,71.0,167.0,90.0,74.0,55.0,75.0,,2.0
CV,2000,,,,,,,,,
CY,2000,,,,,,,,,
CZ,2000,0.0,7.0,31.0,52.0,89.0,61.0,59.0,,0.0
DE,2000,,,,,,,,,
DJ,2000,17.0,302.0,347.0,139.0,67.0,60.0,42.0,,12.0
DK,2000,5.0,10.0,20.0,24.0,16.0,11.0,14.0,,5.0
DO,2000,73.0,410.0,481.0,344.0,173.0,125.0,113.0,,65.0
DZ,2000,59.0,927.0,1516.0,610.0,491.0,234.0,299.0,,36.0
EC,2000,,,,,,,,,
EE,2000,0.0,6.0,31.0,53.0,56.0,35.0,15.0,,0.0
EG,2000,21.0,641.0,827.0,667.0,476.0,307.0,158.0,,55.0
ER,2000,9.0,70.0,75.0,57.0,32.0,25.0,20.0,,10.0
ES,2000,,,,,,,,,
ET,2000,915.0,5095.0,5187.0,3082.0,1495.0,610.0,397.0,,1037.0
FI,2000,0.0,3.0,8.0,22.0,19.0,28.0,53.0,,0.0
FJ,2000,0.0,8.0,6.0,13.0,5.0,4.0,2.0,,0.0
